CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2012-4412,https://www.cvedetails.com/cve/CVE-2012-4412,2013-10-09,2019-06-13,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Denial Of Service"", ""Execute Code"", ""Overflow""]",189,"{""Glibc"": [""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.9"", ""2.10.1"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.11.3"", ""2.12.1"", ""2.12.2"", ""2.13"", ""2.14"", ""2.14.1"", ""2.15"", ""2.16"", ""2.17""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=14547""]","[""14547""]",,,,,,,
CVE-2013-6889,https://www.cvedetails.com/cve/CVE-2013-6889,2014-05-08,2014-05-09,4.9,Complete,None,None,Low,Not required,None,,264,,,,,,,,,,
CVE-2012-6711,https://www.cvedetails.com/cve/CVE-2012-6711,2019-06-18,2019-06-20,4.6,Partial,Partial,Partial,Low,Not required,None,"[""Execute Code"", ""Overflow""]",119,,,,,,,,,,
CVE-2016-0634,https://www.cvedetails.com/cve/CVE-2016-0634,2017-08-28,2018-01-04,6.0,Partial,Partial,Partial,Medium,Single system,None,"[""Execute Code""]",78,,,,,,,,,,
CVE-2016-6263,https://www.cvedetails.com/cve/CVE-2016-6263,2016-09-07,2016-11-28,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",125,,,,,,,,,,
CVE-2016-2226,https://www.cvedetails.com/cve/CVE-2016-2226,2017-02-24,2017-08-11,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Execute Code"", ""Overflow""]",190,,,,,,,,,,
CVE-2015-8370,https://www.cvedetails.com/cve/CVE-2015-8370,2015-12-16,2018-10-09,6.9,Complete,Complete,Complete,Medium,Not required,None,"[""Denial Of Service"", ""Memory corruption"", ""Bypass a restriction or similar"", ""Obtain Information""]",264,,,,,,,,,,
CVE-2016-8606,https://www.cvedetails.com/cve/CVE-2016-8606,2017-01-12,2017-01-18,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Execute Code""]",284,,,,,,,,,,
CVE-2016-5417,https://www.cvedetails.com/cve/CVE-2016-5417,2017-02-16,2017-02-17,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",399,"{""Glibc"": [""2.23""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=19257""]","[""19257""]",,,,"[""https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commitdiff;h=2212c1420c92a33b0e0bd9a34938c9814a56c0f7""]","[""2212c1420c92a33b0e0bd9a34938c9814a56c0f7""]",,
CVE-2017-10792,https://www.cvedetails.com/cve/CVE-2017-10792,2017-07-01,2017-09-01,4.3,None,None,Partial,Medium,Not required,None,"[""Denial Of Service""]",476,,,,,,,,,,
CVE-2017-9744,https://www.cvedetails.com/cve/CVE-2017-9744,2017-06-19,2017-06-26,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",119,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=21578""]","[""21578""]",,,,,,,
CVE-2017-12457,https://www.cvedetails.com/cve/CVE-2017-12457,2017-08-04,2017-08-07,6.8,Partial,Partial,Partial,Medium,Not required,None,,476,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=21840""]","[""21840""]",,,,,,,
CVE-2017-9042,https://www.cvedetails.com/cve/CVE-2017-9042,2017-05-17,2017-09-18,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service""]",704,,,,,,,,,,
CVE-2017-10791,https://www.cvedetails.com/cve/CVE-2017-10791,2017-07-01,2017-09-01,4.3,None,None,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",190,,,,,,,,,,
CVE-2017-12451,https://www.cvedetails.com/cve/CVE-2017-12451,2017-08-04,2017-08-07,6.8,Partial,Partial,Partial,Medium,Not required,None,,125,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=21786""]","[""21786""]",,,,,,,
CVE-2017-17125,https://www.cvedetails.com/cve/CVE-2017-17125,2017-12-04,2019-10-02,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service""]",125,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=22443""]","[""22443""]",,,,,,,
CVE-2017-16831,https://www.cvedetails.com/cve/CVE-2017-16831,2017-11-15,2018-11-27,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",190,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=22385""]","[""22385""]",,,,,,,
CVE-2017-1000455,https://www.cvedetails.com/cve/CVE-2017-1000455,2018-01-02,2018-01-30,2.1,None,Partial,None,Low,Not required,None,,346,,,,,,,,,,
CVE-2018-7643,https://www.cvedetails.com/cve/CVE-2018-7643,2018-03-02,2019-04-26,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",190,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=22905""]","[""22905""]",,,,,,,
CVE-2018-6543,https://www.cvedetails.com/cve/CVE-2018-6543,2018-02-02,2018-11-27,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",190,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=22769""]","[""22769""]",,,,,,,
CVE-2017-17531,https://www.cvedetails.com/cve/CVE-2017-17531,2017-12-14,2017-12-29,6.8,Partial,Partial,Partial,Medium,Not required,None,,74,,,,,,,,,,
CVE-2019-9074,https://www.cvedetails.com/cve/CVE-2019-9074,2019-02-23,2019-05-23,4.3,None,None,Partial,Medium,Not required,None,,125,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=24235""]","[""24235""]",,,,,,,
CVE-2019-1010180,https://www.cvedetails.com/cve/CVE-2019-1010180,2019-07-24,2019-08-01,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Execute Code"", ""Overflow""]",119,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=23657""]","[""23657""]",,,,,,,
CVE-2019-14444,https://www.cvedetails.com/cve/CVE-2019-14444,2019-07-30,2019-08-22,4.3,None,None,Partial,Medium,Not required,None,"[""Overflow""]",190,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=24829""]","[""24829""]",,,,,,,
CVE-2019-15767,https://www.cvedetails.com/cve/CVE-2019-15767,2019-08-28,2019-09-03,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Overflow""]",119,,,,,,,,,,
CVE-2019-9075,https://www.cvedetails.com/cve/CVE-2019-9075,2019-02-23,2019-05-23,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Overflow""]",119,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=24236""]","[""24236""]",,,,,,,
CVE-2019-9923,https://www.cvedetails.com/cve/CVE-2019-9923,2019-03-22,2019-04-24,5.0,None,None,Partial,Low,Not required,None,,476,,,,,,,,,,
