Vulnerable,Git Commit Hash,Affected Functions,Affected Classes,File,Line,Column,Severity,Rule,CWE,Message
No,54e2292e8df7a1a7b041192be9d6d797b6d00869,"[{""Name"": ""__page_to_virt(const struct page_info *)"", ""Begin Line"": 326, ""End Line"": 339}]",,xen/include/asm-x86/mm.h,337,22,warning,divideSizeof,682,Division of result of sizeof() on pointer type.
No,54e2292e8df7a1a7b041192be9d6d797b6d00869,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,236,32,portability,arithOperationsOnVoidPointer,467,"'base' is of type 'const void *'. When using void pointers in calculations, the behaviour is undefined."
No,54e2292e8df7a1a7b041192be9d6d797b6d00869,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,242,33,portability,arithOperationsOnVoidPointer,467,"'(void*)base' is of type 'void *'. When using void pointers in calculations, the behaviour is undefined."
Yes,8d7b633adab76a778ccf3e3417e903b35333c528,"[{""Name"": ""__page_to_virt(const struct page_info *)"", ""Begin Line"": 325, ""End Line"": 338}]",,xen/include/asm-x86/mm.h,336,22,warning,divideSizeof,682,Division of result of sizeof() on pointer type.
Yes,8d7b633adab76a778ccf3e3417e903b35333c528,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,236,32,portability,arithOperationsOnVoidPointer,467,"'base' is of type 'const void *'. When using void pointers in calculations, the behaviour is undefined."
Yes,8d7b633adab76a778ccf3e3417e903b35333c528,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,242,33,portability,arithOperationsOnVoidPointer,467,"'(void*)base' is of type 'void *'. When using void pointers in calculations, the behaviour is undefined."
No,c0d98b35714fb707217c9062b6518e158cd72eea,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2046,35,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
No,c0d98b35714fb707217c9062b6518e158cd72eea,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2057,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
No,c0d98b35714fb707217c9062b6518e158cd72eea,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2091,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
No,c0d98b35714fb707217c9062b6518e158cd72eea,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2101,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
No,c0d98b35714fb707217c9062b6518e158cd72eea,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2114,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
No,c0d98b35714fb707217c9062b6518e158cd72eea,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2123,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
Yes,451004603247205467ec34b366b4cfa3814a5d95,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2046,35,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
Yes,451004603247205467ec34b366b4cfa3814a5d95,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2057,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
Yes,451004603247205467ec34b366b4cfa3814a5d95,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2091,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
Yes,451004603247205467ec34b366b4cfa3814a5d95,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2101,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
Yes,451004603247205467ec34b366b4cfa3814a5d95,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2114,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
Yes,451004603247205467ec34b366b4cfa3814a5d95,"[{""Name"": ""nvmx_msr_read_intercept(unsigned int, int *)"", ""Begin Line"": 1993, ""End Line"": 2159}]",,xen/arch/x86/hvm/vmx/vvmx.c,2123,16,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
No,d8f65e68a7c1047fad97206a6282c281247fadc2,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
Yes,9eaaedfcdee5dd50f8440d72cc759775ec3ce164,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
Yes,50f8ba84a50ebf80dd22067a04062dbaaf2621ff,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
Yes,50f8ba84a50ebf80dd22067a04062dbaaf2621ff,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
Yes,db0c7dde021c29c2ae0d847d70fb7b59e02ea522,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
No,ce2f42605888f18f63ff9fe0d45dd69ae83045bb,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
Yes,371a23e65db5eb3a80a148586aeb551d4d0015f1,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,"[{""Name"": ""x86_emulate(struct x86_emulate_ctxt *, const struct x86_emulate_ops *)"", ""Begin Line"": 1321, ""End Line"": 4527}]",,xen/arch/x86/x86_emulate/x86_emulate.c,3363,48,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,"[{""Name"": ""x86_emulate(struct x86_emulate_ctxt *, const struct x86_emulate_ops *)"", ""Begin Line"": 1321, ""End Line"": 4527}]",,xen/arch/x86/x86_emulate/x86_emulate.c,3407,52,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,"[{""Name"": ""x86_emulate(struct x86_emulate_ctxt *, const struct x86_emulate_ops *)"", ""Begin Line"": 1321, ""End Line"": 4524}]",,xen/arch/x86/x86_emulate/x86_emulate.c,3362,48,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,"[{""Name"": ""x86_emulate(struct x86_emulate_ctxt *, const struct x86_emulate_ops *)"", ""Begin Line"": 1321, ""End Line"": 4524}]",,xen/arch/x86/x86_emulate/x86_emulate.c,3406,52,error,shiftTooManyBits,758,Shifting 32-bit value by 32 bits is undefined behaviour
No,8617e69fb8307b372eeff41d55ec966dbeba36eb,"[{""Name"": ""__page_to_virt(const struct page_info *)"", ""Begin Line"": 318, ""End Line"": 331}]",,xen/include/asm-x86/mm.h,329,22,warning,divideSizeof,682,Division of result of sizeof() on pointer type.
No,8617e69fb8307b372eeff41d55ec966dbeba36eb,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,236,32,portability,arithOperationsOnVoidPointer,467,"'base' is of type 'const void *'. When using void pointers in calculations, the behaviour is undefined."
No,8617e69fb8307b372eeff41d55ec966dbeba36eb,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,242,33,portability,arithOperationsOnVoidPointer,467,"'(void*)base' is of type 'void *'. When using void pointers in calculations, the behaviour is undefined."
Yes,f46b6197344fca91db7e1d7bd6df0c4a2703ed6f,"[{""Name"": ""__page_to_virt(const struct page_info *)"", ""Begin Line"": 318, ""End Line"": 331}]",,xen/include/asm-x86/mm.h,329,22,warning,divideSizeof,682,Division of result of sizeof() on pointer type.
Yes,f46b6197344fca91db7e1d7bd6df0c4a2703ed6f,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,236,32,portability,arithOperationsOnVoidPointer,467,"'base' is of type 'const void *'. When using void pointers in calculations, the behaviour is undefined."
Yes,f46b6197344fca91db7e1d7bd6df0c4a2703ed6f,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,242,33,portability,arithOperationsOnVoidPointer,467,"'(void*)base' is of type 'void *'. When using void pointers in calculations, the behaviour is undefined."
No,937ef32565fa3a81fdb37b9dd5aa99a1b87afa75,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,236,32,portability,arithOperationsOnVoidPointer,467,"'base' is of type 'const void *'. When using void pointers in calculations, the behaviour is undefined."
No,937ef32565fa3a81fdb37b9dd5aa99a1b87afa75,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,242,33,portability,arithOperationsOnVoidPointer,467,"'(void*)base' is of type 'void *'. When using void pointers in calculations, the behaviour is undefined."
Yes,32a5ea00ec75ef53e1f5e095786a34f98fd2e22b,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,236,32,portability,arithOperationsOnVoidPointer,467,"'base' is of type 'const void *'. When using void pointers in calculations, the behaviour is undefined."
Yes,32a5ea00ec75ef53e1f5e095786a34f98fd2e22b,"[{""Name"": ""bsearch(const void *, const void *, size_t, size_t, int (*)(const void *, const void *))"", ""Begin Line"": 224, ""End Line"": 246}]",,xen/include/xen/lib.h,242,33,portability,arithOperationsOnVoidPointer,467,"'(void*)base' is of type 'void *'. When using void pointers in calculations, the behaviour is undefined."
No,91b0ae9db33f72468b1d411a07f53085c893c097,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
Yes,7f0638e914a542f20e8bb369dd476dfc6c020f0a,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
No,40412e3c99722229f1ec93cd95fc8486d778f5df,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
Yes,0d0f28455d9c019475575d7a36f3c98fa4f0342d,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
Yes,b38d426ad09b3e142f474c1dadfd6d6903664a48,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 439, ""End Line"": 506}]",tools/libxl/libxl_internal.h,470,21,error,syntaxError,,syntax error
No,811b188addb9018d1daef19db73c577e9e99f7eb,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,32e9d0f065b78e42c4a5f7aba8bae153d465749a,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,99507d279361738de65498138460490b83d44cd4,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,7e81d992b183c47a74eea5ecd613d27950b5cdc3,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,481dddb63b1fac2368c8e8be109babee0b1ca171,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,811b188addb9018d1daef19db73c577e9e99f7eb,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,811b188addb9018d1daef19db73c577e9e99f7eb,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
No,e3d851340c551554b93743606f180bd310a55da8,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
Yes,481dddb63b1fac2368c8e8be109babee0b1ca171,,"[{""Name"": ""libxl__ctx"", ""Begin Line"": 419, ""End Line"": 486}]",tools/libxl/libxl_internal.h,450,21,error,syntaxError,,syntax error
