CVE,CWE
CVE-2007-5960,22
CVE-2008-0016,119
CVE-2008-0017,119
CVE-2008-0304,119
CVE-2008-0412,399
CVE-2008-0413,399
CVE-2008-0414,20
CVE-2008-0415,79
CVE-2008-0416,79
CVE-2008-0417,94
CVE-2008-0418,22
CVE-2008-0419,399
CVE-2008-0420,200
CVE-2008-0591,
CVE-2008-0592,
CVE-2008-0593,200
CVE-2008-0594,
CVE-2008-1195,254
CVE-2008-1233,94
CVE-2008-1234,79
CVE-2008-1235,
CVE-2008-1236,399
CVE-2008-1237,399
CVE-2008-1238,287
CVE-2008-1241,59
CVE-2008-1380,399
CVE-2008-2785,189
CVE-2008-2798,399
CVE-2008-2799,399
CVE-2008-2800,79
CVE-2008-2801,287
CVE-2008-2802,264
CVE-2008-2803,264
CVE-2008-2805,20
CVE-2008-2806,20
CVE-2008-2807,200
CVE-2008-2808,79
CVE-2008-2809,20
CVE-2008-2810,264
CVE-2008-2811,399
CVE-2008-2933,20
CVE-2008-2934,94
CVE-2008-3835,264
CVE-2008-3836,264
CVE-2008-3837,
CVE-2008-4058,264
CVE-2008-4059,264
CVE-2008-4060,264
CVE-2008-4061,189
CVE-2008-4062,399
CVE-2008-4063,
CVE-2008-4064,399
CVE-2008-4065,79
CVE-2008-4066,79
CVE-2008-4069,200
CVE-2008-4070,119
CVE-2008-4582,264
CVE-2008-5012,200
CVE-2008-5013,399
CVE-2008-5014,20
CVE-2008-5015,94
CVE-2008-5016,399
CVE-2008-5017,189
CVE-2008-5018,399
CVE-2008-5019,79
CVE-2008-5021,399
CVE-2008-5022,287
CVE-2008-5023,20
CVE-2008-5024,91
CVE-2008-5500,399
CVE-2008-5501,
CVE-2008-5502,399
CVE-2008-5503,
CVE-2008-5504,264
CVE-2008-5505,264
CVE-2008-5506,264
CVE-2008-5507,200
CVE-2008-5508,20
CVE-2008-5510,
CVE-2008-5511,79
CVE-2008-5512,264
CVE-2008-5513,79
CVE-2008-5913,
CVE-2009-0040,94
CVE-2009-0352,399
CVE-2009-0353,399
CVE-2009-0354,79
CVE-2009-0355,264
CVE-2009-0356,59
CVE-2009-0357,264
CVE-2009-0358,200
CVE-2009-0652,
CVE-2009-0689,119
CVE-2009-0771,399
CVE-2009-0772,399
CVE-2009-0773,399
CVE-2009-0774,399
CVE-2009-0775,399
CVE-2009-0776,200
CVE-2009-0777,20
CVE-2009-1044,399
CVE-2009-1169,399
CVE-2009-1194,189
CVE-2009-1302,399
CVE-2009-1303,16
CVE-2009-1304,399
CVE-2009-1305,399
CVE-2009-1306,16
CVE-2009-1307,20
CVE-2009-1308,79
CVE-2009-1309,16
CVE-2009-1310,79
CVE-2009-1311,200
CVE-2009-1312,16
CVE-2009-1313,399
CVE-2009-1392,94
CVE-2009-1571,94
CVE-2009-1832,94
CVE-2009-1833,94
CVE-2009-1834,20
CVE-2009-1835,200
CVE-2009-1836,287
CVE-2009-1837,362
CVE-2009-1838,94
CVE-2009-1839,264
CVE-2009-1840,264
CVE-2009-1841,94
CVE-2009-2404,119
CVE-2009-2408,20
CVE-2009-2462,399
CVE-2009-2463,189
CVE-2009-2464,399
CVE-2009-2465,399
CVE-2009-2466,399
CVE-2009-2467,
CVE-2009-2469,399
CVE-2009-2470,20
CVE-2009-2471,
CVE-2009-2472,79
CVE-2009-2477,94
CVE-2009-2654,20
CVE-2009-2662,119
CVE-2009-2663,399
CVE-2009-2664,399
CVE-2009-2665,94
CVE-2009-3069,
CVE-2009-3070,
CVE-2009-3071,
CVE-2009-3072,
CVE-2009-3073,
CVE-2009-3074,
CVE-2009-3075,
CVE-2009-3076,
CVE-2009-3077,94
CVE-2009-3078,20
CVE-2009-3079,94
CVE-2009-3274,
CVE-2009-3370,
CVE-2009-3371,399
CVE-2009-3372,
CVE-2009-3373,119
CVE-2009-3374,264
CVE-2009-3375,264
CVE-2009-3376,16
CVE-2009-3377,
CVE-2009-3378,
CVE-2009-3379,
CVE-2009-3380,
CVE-2009-3381,
CVE-2009-3382,
CVE-2009-3383,
CVE-2009-3385,264
CVE-2009-3388,399
CVE-2009-3389,189
CVE-2009-3555,310
CVE-2009-3979,
CVE-2009-3980,399
CVE-2009-3981,
CVE-2009-3982,
CVE-2009-3983,
CVE-2009-3984,
CVE-2009-3985,
CVE-2009-3986,94
CVE-2009-3987,200
CVE-2009-3988,264
CVE-2010-0159,
CVE-2010-0160,399
CVE-2010-0161,399
CVE-2010-0162,79
CVE-2010-0163,
CVE-2010-0164,399
CVE-2010-0165,119
CVE-2010-0166,119
CVE-2010-0167,119
CVE-2010-0168,264
CVE-2010-0169,
CVE-2010-0170,79
CVE-2010-0171,79
CVE-2010-0172,
CVE-2010-0173,
CVE-2010-0174,
CVE-2010-0175,399
CVE-2010-0176,399
CVE-2010-0177,399
CVE-2010-0178,94
CVE-2010-0179,94
CVE-2010-0181,20
CVE-2010-0182,20
CVE-2010-0183,399
CVE-2010-0654,200
CVE-2010-1028,189
CVE-2010-1121,94
CVE-2010-1125,200
CVE-2010-1196,189
CVE-2010-1197,79
CVE-2010-1198,399
CVE-2010-1199,189
CVE-2010-1200,
CVE-2010-1201,
CVE-2010-1202,
CVE-2010-1203,
CVE-2010-1205,120
CVE-2010-1206,264
CVE-2010-1207,264
CVE-2010-1208,399
CVE-2010-1209,399
CVE-2010-1210,20
CVE-2010-1211,
CVE-2010-1212,119
CVE-2010-1213,20
CVE-2010-1214,189
CVE-2010-1215,94
CVE-2010-1585,20
CVE-2010-2751,264
CVE-2010-2752,189
CVE-2010-2753,189
CVE-2010-2754,200
CVE-2010-2755,399
CVE-2010-2760,399
CVE-2010-2762,264
CVE-2010-2763,79
CVE-2010-2764,264
CVE-2010-2765,189
CVE-2010-2766,94
CVE-2010-2767,399
CVE-2010-2768,79
CVE-2010-2769,79
CVE-2010-2770,119
CVE-2010-3131,
CVE-2010-3166,119
CVE-2010-3167,119
CVE-2010-3168,119
CVE-2010-3169,
CVE-2010-3170,310
CVE-2010-3171,310
CVE-2010-3173,310
CVE-2010-3174,
CVE-2010-3175,
CVE-2010-3176,
CVE-2010-3177,79
CVE-2010-3178,264
CVE-2010-3179,119
CVE-2010-3180,399
CVE-2010-3181,
CVE-2010-3182,
CVE-2010-3183,119
CVE-2010-3765,119
CVE-2010-3766,399
CVE-2010-3767,189
CVE-2010-3768,20
CVE-2010-3769,119
CVE-2010-3770,79
CVE-2010-3771,
CVE-2010-3772,189
CVE-2010-3773,
CVE-2010-3774,20
CVE-2010-3775,
CVE-2010-3776,119
CVE-2010-3777,119
CVE-2010-3778,119
CVE-2011-0051,20
CVE-2011-0053,
CVE-2011-0054,119
CVE-2011-0055,399
CVE-2011-0056,119
CVE-2011-0057,399
CVE-2011-0058,119
CVE-2011-0059,352
CVE-2011-0061,119
CVE-2011-0062,
CVE-2011-0065,399
CVE-2011-0066,399
CVE-2011-0067,20
CVE-2011-0069,
CVE-2011-0070,
CVE-2011-0071,22
CVE-2011-0072,
CVE-2011-0073,20
CVE-2011-0074,
CVE-2011-0075,
CVE-2011-0076,
CVE-2011-0077,
CVE-2011-0078,
CVE-2011-0079,
CVE-2011-0080,
CVE-2011-0081,
CVE-2011-0083,399
CVE-2011-0084,94
CVE-2011-0085,399
CVE-2011-1187,200
CVE-2011-1202,200
CVE-2011-1300,189
CVE-2011-1302,787
CVE-2011-2362,264
CVE-2011-2363,399
CVE-2011-2364,
CVE-2011-2365,
CVE-2011-2366,20
CVE-2011-2367,264
CVE-2011-2368,264
CVE-2011-2369,79
CVE-2011-2370,264
CVE-2011-2371,189
CVE-2011-2372,264
CVE-2011-2373,399
CVE-2011-2374,
CVE-2011-2375,
CVE-2011-2376,
CVE-2011-2377,119
CVE-2011-2378,94
CVE-2011-2980,
CVE-2011-2981,16
CVE-2011-2982,
CVE-2011-2983,200
CVE-2011-2984,94
CVE-2011-2985,
CVE-2011-2986,200
CVE-2011-2987,119
CVE-2011-2988,119
CVE-2011-2989,119
CVE-2011-2990,255
CVE-2011-2991,119
CVE-2011-2992,119
CVE-2011-2993,264
CVE-2011-2995,
CVE-2011-2996,
CVE-2011-2997,
CVE-2011-2998,189
CVE-2011-2999,264
CVE-2011-3000,94
CVE-2011-3001,264
CVE-2011-3002,119
CVE-2011-3003,119
CVE-2011-3004,20
CVE-2011-3005,119
CVE-2011-3026,190
CVE-2011-3062,682
CVE-2011-3079,399
CVE-2011-3232,94
CVE-2011-3647,20
CVE-2011-3648,79
CVE-2011-3650,119
CVE-2011-3651,
CVE-2011-3652,119
CVE-2011-3653,200
CVE-2011-3654,119
CVE-2011-3655,94
CVE-2011-3658,399
CVE-2011-3659,416
CVE-2011-3660,
CVE-2011-3661,399
CVE-2011-3663,200
CVE-2011-3664,
CVE-2011-3665,399
CVE-2011-3666,264
CVE-2011-3670,200
CVE-2011-3671,399
CVE-2012-0441,119
CVE-2012-0442,
CVE-2012-0443,
CVE-2012-0444,119
CVE-2012-0445,264
CVE-2012-0446,79
CVE-2012-0447,200
CVE-2012-0449,119
CVE-2012-0450,264
CVE-2012-0451,94
CVE-2012-0452,399
CVE-2012-0454,399
CVE-2012-0455,79
CVE-2012-0456,200
CVE-2012-0457,399
CVE-2012-0458,264
CVE-2012-0459,264
CVE-2012-0460,264
CVE-2012-0461,
CVE-2012-0462,
CVE-2012-0463,20
CVE-2012-0464,399
CVE-2012-0467,
CVE-2012-0468,119
CVE-2012-0469,399
CVE-2012-0470,119
CVE-2012-0471,79
CVE-2012-0472,119
CVE-2012-0473,189
CVE-2012-0474,79
CVE-2012-0475,264
CVE-2012-0477,79
CVE-2012-0478,264
CVE-2012-0479,
CVE-2012-1126,119
CVE-2012-1937,
CVE-2012-1938,
CVE-2012-1939,119
CVE-2012-1940,399
CVE-2012-1941,119
CVE-2012-1942,264
CVE-2012-1943,
CVE-2012-1944,79
CVE-2012-1945,200
CVE-2012-1946,399
CVE-2012-1947,119
CVE-2012-1948,
CVE-2012-1949,
CVE-2012-1950,
CVE-2012-1951,399
CVE-2012-1952,399
CVE-2012-1953,119
CVE-2012-1954,399
CVE-2012-1955,
CVE-2012-1956,79
CVE-2012-1957,79
CVE-2012-1958,399
CVE-2012-1959,264
CVE-2012-1960,200
CVE-2012-1961,20
CVE-2012-1962,399
CVE-2012-1963,264
CVE-2012-1964,
CVE-2012-1965,79
CVE-2012-1966,264
CVE-2012-1967,
CVE-2012-1970,119
CVE-2012-1971,
CVE-2012-1972,416
CVE-2012-1973,416
CVE-2012-1974,416
CVE-2012-1975,416
CVE-2012-1976,416
CVE-2012-3105,119
CVE-2012-3956,416
CVE-2012-3957,787
CVE-2012-3958,399
CVE-2012-3959,416
CVE-2012-3960,416
CVE-2012-3961,416
CVE-2012-3962,
CVE-2012-3963,416
CVE-2012-3964,399
CVE-2012-3965,264
CVE-2012-3966,119
CVE-2012-3967,787
CVE-2012-3968,416
CVE-2012-3969,189
CVE-2012-3970,399
CVE-2012-3971,119
CVE-2012-3972,200
CVE-2012-3973,264
CVE-2012-3974,399
CVE-2012-3975,200
CVE-2012-3976,200
CVE-2012-3977,
CVE-2012-3978,264
CVE-2012-3979,
CVE-2012-3980,94
CVE-2012-3982,
CVE-2012-3983,119
CVE-2012-3984,
CVE-2012-3985,79
CVE-2012-3986,20
CVE-2012-3987,264
CVE-2012-3988,416
CVE-2012-3989,119
CVE-2012-3990,416
CVE-2012-3991,264
CVE-2012-3992,79
CVE-2012-3993,269
CVE-2012-3994,79
CVE-2012-3995,125
CVE-2012-4179,416
CVE-2012-4180,119
CVE-2012-4181,416
CVE-2012-4182,416
CVE-2012-4183,416
CVE-2012-4184,79
CVE-2012-4185,119
CVE-2012-4186,119
CVE-2012-4187,119
CVE-2012-4188,119
CVE-2012-4190,119
CVE-2012-4191,787
CVE-2012-4192,264
CVE-2012-4193,346
CVE-2012-4194,79
CVE-2012-4195,79
CVE-2012-4196,74
CVE-2012-4201,79
CVE-2012-4202,787
CVE-2012-4203,264
CVE-2012-4204,119
CVE-2012-4205,352
CVE-2012-4206,
CVE-2012-4207,79
CVE-2012-4208,200
CVE-2012-4209,79
CVE-2012-4210,264
CVE-2012-4212,416
CVE-2012-4213,416
CVE-2012-4214,416
CVE-2012-4215,416
CVE-2012-4216,416
CVE-2012-4217,416
CVE-2012-4218,416
CVE-2012-5829,787
CVE-2012-5830,416
CVE-2012-5833,119
CVE-2012-5835,190
CVE-2012-5836,94
CVE-2012-5837,79
CVE-2012-5838,119
CVE-2012-5839,787
CVE-2012-5840,416
CVE-2012-5841,79
CVE-2012-5842,
CVE-2012-5843,
CVE-2013-0744,416
CVE-2013-0745,94
CVE-2013-0746,
CVE-2013-0747,20
CVE-2013-0748,200
CVE-2013-0749,
CVE-2013-0750,190
CVE-2013-0751,264
CVE-2013-0752,119
CVE-2013-0753,416
CVE-2013-0754,416
CVE-2013-0755,416
CVE-2013-0756,416
CVE-2013-0757,20
CVE-2013-0758,94
CVE-2013-0759,287
CVE-2013-0760,120
CVE-2013-0761,416
CVE-2013-0762,416
CVE-2013-0763,416
CVE-2013-0764,326
CVE-2013-0765,
CVE-2013-0766,416
CVE-2013-0767,125
CVE-2013-0768,787
CVE-2013-0769,
CVE-2013-0770,
CVE-2013-0771,787
CVE-2013-0772,119
CVE-2013-0773,
CVE-2013-0774,
CVE-2013-0775,416
CVE-2013-0776,295
CVE-2013-0777,416
CVE-2013-0778,125
CVE-2013-0779,125
CVE-2013-0780,416
CVE-2013-0781,416
CVE-2013-0782,787
CVE-2013-0783,
CVE-2013-0784,
CVE-2013-0787,399
CVE-2013-0788,
CVE-2013-0789,
CVE-2013-0790,
CVE-2013-0791,119
CVE-2013-0792,200
CVE-2013-0793,79
CVE-2013-0794,
CVE-2013-0795,264
CVE-2013-0796,
CVE-2013-0797,
CVE-2013-0798,264
CVE-2013-0799,119
CVE-2013-0800,
CVE-2013-0801,
CVE-2013-1669,
CVE-2013-1670,264
CVE-2013-1671,20
CVE-2013-1672,264
CVE-2013-1673,264
CVE-2013-1674,399
CVE-2013-1675,119
CVE-2013-1676,119
CVE-2013-1677,399
CVE-2013-1678,119
CVE-2013-1679,399
CVE-2013-1680,119
CVE-2013-1681,399
CVE-2013-1682,
CVE-2013-1683,
CVE-2013-1684,399
CVE-2013-1685,399
CVE-2013-1686,399
CVE-2013-1687,264
CVE-2013-1688,94
CVE-2013-1690,119
CVE-2013-1692,264
CVE-2013-1693,264
CVE-2013-1694,20
CVE-2013-1695,264
CVE-2013-1696,264
CVE-2013-1697,264
CVE-2013-1698,264
CVE-2013-1699,310
CVE-2013-1700,264
CVE-2013-1701,
CVE-2013-1702,
CVE-2013-1704,399
CVE-2013-1705,119
CVE-2013-1706,119
CVE-2013-1707,119
CVE-2013-1708,
CVE-2013-1709,79
CVE-2013-1710,20
CVE-2013-1711,79
CVE-2013-1712,
CVE-2013-1713,264
CVE-2013-1714,264
CVE-2013-1715,
CVE-2013-1717,264
CVE-2013-1718,119
CVE-2013-1719,119
CVE-2013-1720,119
CVE-2013-1721,119
CVE-2013-1722,399
CVE-2013-1723,119
CVE-2013-1724,399
CVE-2013-1725,119
CVE-2013-1726,264
CVE-2013-1727,79
CVE-2013-1728,119
CVE-2013-1729,200
CVE-2013-1730,119
CVE-2013-1731,20
CVE-2013-1732,119
CVE-2013-1735,20
CVE-2013-1736,119
CVE-2013-1737,264
CVE-2013-1738,399
CVE-2013-1739,
CVE-2013-1741,189
CVE-2013-2566,326
CVE-2013-5590,
CVE-2013-5591,
CVE-2013-5592,
CVE-2013-5593,20
CVE-2013-5595,119
CVE-2013-5596,119
CVE-2013-5597,
CVE-2013-5598,264
CVE-2013-5599,
CVE-2013-5600,
CVE-2013-5601,
CVE-2013-5602,119
CVE-2013-5603,
CVE-2013-5604,119
CVE-2013-5605,20
CVE-2013-5606,264
CVE-2013-5607,189
CVE-2013-5609,
CVE-2013-5610,787
CVE-2013-5611,
CVE-2013-5612,79
CVE-2013-5613,416
CVE-2013-5614,1021
CVE-2013-5615,
CVE-2013-5616,416
CVE-2013-5618,416
CVE-2013-5619,190
CVE-2013-6629,200
CVE-2013-6671,94
CVE-2013-6672,200
CVE-2013-6673,310
CVE-2013-6674,79
CVE-2014-1477,
CVE-2014-1478,787
CVE-2014-1479,
CVE-2014-1480,1021
CVE-2014-1481,
CVE-2014-1482,787
CVE-2014-1483,1021
CVE-2014-1484,200
CVE-2014-1485,
CVE-2014-1486,416
CVE-2014-1487,346
CVE-2014-1488,
CVE-2014-1489,264
CVE-2014-1490,362
CVE-2014-1491,326
CVE-2014-1492,20
CVE-2014-1493,119
CVE-2014-1494,
CVE-2014-1495,
CVE-2014-1496,269
CVE-2014-1497,125
CVE-2014-1498,347
CVE-2014-1499,
CVE-2014-1500,400
CVE-2014-1501,264
CVE-2014-1502,346
CVE-2014-1504,264
CVE-2014-1505,200
CVE-2014-1506,22
CVE-2014-1507,22
CVE-2014-1508,125
CVE-2014-1509,120
CVE-2014-1510,269
CVE-2014-1511,269
CVE-2014-1512,416
CVE-2014-1513,787
CVE-2014-1514,787
CVE-2014-1515,200
CVE-2014-1518,
CVE-2014-1519,
CVE-2014-1520,269
CVE-2014-1522,125
CVE-2014-1523,787
CVE-2014-1524,120
CVE-2014-1525,787
CVE-2014-1526,269
CVE-2014-1527,
CVE-2014-1528,119
CVE-2014-1529,269
CVE-2014-1530,79
CVE-2014-1531,416
CVE-2014-1532,416
CVE-2014-1533,
CVE-2014-1534,119
CVE-2014-1536,
CVE-2014-1537,
CVE-2014-1538,
CVE-2014-1539,20
CVE-2014-1540,
CVE-2014-1541,
CVE-2014-1542,119
CVE-2014-1543,119
CVE-2014-1544,
CVE-2014-1545,
CVE-2014-1547,
CVE-2014-1548,
CVE-2014-1549,119
CVE-2014-1550,
CVE-2014-1551,
CVE-2014-1552,264
CVE-2014-1553,119
CVE-2014-1554,119
CVE-2014-1555,
CVE-2014-1556,94
CVE-2014-1557,94
CVE-2014-1558,
CVE-2014-1559,
CVE-2014-1560,
CVE-2014-1561,264
CVE-2014-1562,119
CVE-2014-1563,416
CVE-2014-1564,824
CVE-2014-1565,119
CVE-2014-1566,264
CVE-2014-1567,
CVE-2014-1568,310
CVE-2014-1574,
CVE-2014-1575,264
CVE-2014-1576,119
CVE-2014-1577,
CVE-2014-1578,119
CVE-2014-1580,200
CVE-2014-1581,
CVE-2014-1582,310
CVE-2014-1583,
CVE-2014-1584,310
CVE-2014-1585,
CVE-2014-1586,
CVE-2014-1587,20
CVE-2014-1588,
CVE-2014-1589,284
CVE-2014-1590,20
CVE-2014-1591,199
CVE-2014-1592,
CVE-2014-1593,119
CVE-2014-1594,20
CVE-2014-1595,199
CVE-2014-8631,284
CVE-2014-8632,284
CVE-2014-8634,
CVE-2014-8635,
CVE-2014-8636,94
CVE-2014-8637,200
CVE-2014-8638,352
CVE-2014-8639,
CVE-2014-8640,362
CVE-2014-8641,
CVE-2014-8642,310
CVE-2014-8643,264
CVE-2015-0797,
CVE-2015-0798,264
CVE-2015-0799,20
CVE-2015-0800,200
CVE-2015-0801,264
CVE-2015-0802,264
CVE-2015-0803,264
CVE-2015-0804,264
CVE-2015-0805,17
CVE-2015-0806,17
CVE-2015-0807,352
CVE-2015-0808,17
CVE-2015-0810,20
CVE-2015-0811,119
CVE-2015-0812,17
CVE-2015-0813,
CVE-2015-0814,
CVE-2015-0815,
CVE-2015-0816,264
CVE-2015-0817,17
CVE-2015-0818,264
CVE-2015-0819,19
CVE-2015-0820,284
CVE-2015-0821,264
CVE-2015-0822,200
CVE-2015-0823,
CVE-2015-0824,119
CVE-2015-0825,119
CVE-2015-0826,119
CVE-2015-0827,119
CVE-2015-0828,
CVE-2015-0829,119
CVE-2015-0830,399
CVE-2015-0831,
CVE-2015-0832,254
CVE-2015-0833,
CVE-2015-0834,200
CVE-2015-0835,
CVE-2015-0836,
CVE-2015-2706,362
CVE-2015-2708,
CVE-2015-2709,
CVE-2015-2710,119
CVE-2015-2711,200
CVE-2015-2712,119
CVE-2015-2713,
CVE-2015-2714,264
CVE-2015-2715,362
CVE-2015-2716,119
CVE-2015-2717,189
CVE-2015-2718,200
CVE-2015-2720,17
CVE-2015-2721,310
CVE-2015-2722,
CVE-2015-2724,119
CVE-2015-2725,119
CVE-2015-2726,119
CVE-2015-2727,20
CVE-2015-2728,
CVE-2015-2729,119
CVE-2015-2730,310
CVE-2015-2731,
CVE-2015-2733,
CVE-2015-2734,17
CVE-2015-2735,17
CVE-2015-2736,17
CVE-2015-2737,17
CVE-2015-2738,17
CVE-2015-2739,119
CVE-2015-2740,119
CVE-2015-2741,310
CVE-2015-2742,200
CVE-2015-2743,17
CVE-2015-2744,79
CVE-2015-2745,79
CVE-2015-4000,310
CVE-2015-4473,119
CVE-2015-4474,
CVE-2015-4475,119
CVE-2015-4476,254
CVE-2015-4477,
CVE-2015-4478,200
CVE-2015-4479,189
CVE-2015-4480,189
CVE-2015-4481,362
CVE-2015-4482,119
CVE-2015-4483,264
CVE-2015-4484,119
CVE-2015-4485,119
CVE-2015-4486,119
CVE-2015-4487,119
CVE-2015-4488,
CVE-2015-4489,119
CVE-2015-4490,79
CVE-2015-4491,189
CVE-2015-4492,
CVE-2015-4493,119
CVE-2015-4494,200
CVE-2015-4495,200
CVE-2015-4496,189
CVE-2015-4497,
CVE-2015-4498,254
CVE-2015-4500,119
CVE-2015-4501,119
CVE-2015-4502,254
CVE-2015-4503,200
CVE-2015-4504,119
CVE-2015-4505,264
CVE-2015-4506,119
CVE-2015-4507,
CVE-2015-4508,254
CVE-2015-4509,
CVE-2015-4510,362
CVE-2015-4511,119
CVE-2015-4512,119
CVE-2015-4513,119
CVE-2015-4514,119
CVE-2015-4515,200
CVE-2015-4516,254
CVE-2015-4517,119
CVE-2015-4518,79
CVE-2015-4519,200
CVE-2015-4520,254
CVE-2015-4521,119
CVE-2015-4522,119
CVE-2015-7174,119
CVE-2015-7175,119
CVE-2015-7176,119
CVE-2015-7177,119
CVE-2015-7178,119
CVE-2015-7179,119
CVE-2015-7180,119
CVE-2015-7181,119
CVE-2015-7182,119
CVE-2015-7183,119
CVE-2015-7184,284
CVE-2015-7185,254
CVE-2015-7186,200
CVE-2015-7187,254
CVE-2015-7188,254
CVE-2015-7189,119
CVE-2015-7190,200
CVE-2015-7191,79
CVE-2015-7192,17
CVE-2015-7193,254
CVE-2015-7194,119
CVE-2015-7195,200
CVE-2015-7196,17
CVE-2015-7197,264
CVE-2015-7198,119
CVE-2015-7199,119
CVE-2015-7200,17
CVE-2015-7201,119
CVE-2015-7202,119
CVE-2015-7203,119
CVE-2015-7204,17
CVE-2015-7205,189
CVE-2015-7207,200
CVE-2015-7208,200
CVE-2015-7210,
CVE-2015-7211,20
CVE-2015-7212,189
CVE-2015-7213,189
CVE-2015-7214,200
CVE-2015-7215,200
CVE-2015-7216,20
CVE-2015-7217,119
CVE-2015-7218,189
CVE-2015-7219,189
CVE-2015-7220,119
CVE-2015-7221,119
CVE-2015-7222,189
CVE-2015-7223,264
CVE-2015-7575,19
